method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,00468,windmill,16,0.5,0.5517854393872873,0.25925925925925924
prompt,00468,windmill,64,0.4,0.47842151728792726,0.2222222222222222
prompt,00468,windmill,256,0.0,0.0,0.0
prompt,00481,airplane,0,0.3,0.5390031312763821,1.0
prompt,00481,airplane,16,0.3,0.5390031312763821,1.0
prompt,00481,airplane,64,0.2,0.4539036202482202,0.5714285714285714
prompt,00481,airplane,256,0.0,0.0,0.0
prompt,00481,helicopter,0,0.1,0.23719771276929622,1.0
prompt,00481,helicopter,16,0.1,0.23719771276929622,1.0
prompt,00481,helicopter,64,0.1,0.23719771276929622,1.0
prompt,00481,helicopter,256,0.1,0.38685280723454163,1.0
prompt,00481,large-vehicle,0,0.4,0.5912212512046472,0.5
prompt,00481,large-vehicle,16,0.2,0.5205067333228022,0.5
prompt,00481,large-vehicle,64,0.0,0.0,0.0
prompt,00481,large-vehicle,256,0.0,0.0,0.0
prompt,00481,small-vehicle,0,0.7,0.7385567757549499,0.3803680981595092
prompt,00481,small-vehicle,16,0.6,0.6601585067762746,0.20245398773006135
prompt,00481,small-vehicle,64,0.0,0.0,0.0
prompt,00481,small-vehicle,256,0.0,0.0,0.0
prompt,00488,windmill,0,1.0,1.0,0.40963855421686746
prompt,00488,windmill,16,1.0,1.0,0.40963855421686746
prompt,00488,windmill,64,0.8,0.7663491917568946,0.1686746987951807
prompt,00488,windmill,256,0.2,0.15139734109601002,0.03614457831325301
prompt,00490,windmill,0,1.0,1.0,0.5
prompt,00490,windmill,16,1.0,1.0,0.5
prompt,00490,windmill,64,1.0,1.0,0.34
prompt,00490,windmill,256,0.3,0.3995688713838975,0.06
prompt,00493,windmill,0,0.3,0.2114502791144043,0.23076923076923078
prompt,00493,windmill,16,0.3,0.2114502791144043,0.23076923076923078
prompt,00493,windmill,64,0.1,0.06362078819895171,0.07692307692307693
prompt,00493,windmill,256,0.1,0.09803928583135704,0.07692307692307693
prompt,00498,airplane,0,0.4,0.40067051810063,0.2
prompt,00498,airplane,16,0.4,0.40067051810063,0.2
prompt,00498,airplane,64,0.4,0.40067051810063,0.2
prompt,00498,airplane,256,0.2,0.32531670832675136,0.13333333333333333
prompt,00498,container,0,0.3,0.42520843362602373,0.5641025641025641
prompt,00498,container,16,0.2,0.2863459897524692,0.4358974358974359
prompt,00498,container,64,0.0,0.0,0.0
prompt,00498,container,256,0.0,0.0,0.0
prompt,00498,large-vehicle,0,0.2,0.21726071285222986,0.13157894736842105
prompt,00498,large-vehicle,16,0.1,0.07839826897867533,0.10526315789473684
prompt,00498,large-vehicle,64,0.0,0.0,0.0
prompt,00498,large-vehicle,256,0.0,0.0,0.0
prompt,00498,small-vehicle,0,0.4,0.2874476364692017,0.14748842180263627
prompt,00498,small-vehicle,16,0.1,0.06625422345438903,0.0010687566797292483
prompt,00498,small-vehicle,64,0.0,0.0,0.0
prompt,00498,small-vehicle,256,0.0,0.0,0.0
prompt,00498,swimming-pool,0,1.0,1.0,0.3333333333333333
prompt,00498,swimming-pool,16,1.0,1.0,0.3284313725490196
prompt,00498,swimming-pool,64,0.1,0.09478836436955078,0.004901960784313725
prompt,00498,swimming-pool,256,0.0,0.0,0.0
prompt,00502,airplane,0,0.5,0.6177639991612475,1.0
prompt,00502,airplane,16,0.5,0.6177639991612475,1.0
prompt,00502,airplane,64,0.4,0.591793585310856,1.0
prompt,00502,airplane,256,0.2,0.6240505200038379,0.03333333333333333
